#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B81678
#Date Time: 2025-12-03 15:07:06.103
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 100 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 500 mV
#Offset: 30 mV
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -2 V

#2,4kHz
#raw
#
Time (s),Channel 1 (V),Channel 2 (V)
-0.0051196875,-0.2436201629603862,-0.3015946026432871
-0.0051184375,-0.2393074796940259,-0.2999401789058449
-0.005117187499999999,-0.237648755360809,-0.2966313314309594
-0.0051159375,-0.2346630515610224,-0.2943151381985413
-0.005114687499999999,-0.2316773477612345,-0.2910062907236569
-0.0051134375,-0.2283598990948034,-0.2880283279962608
-0.0051121875,-0.2257059401616586,-0.2850503652688648
-0.0051109375,-0.2217250017619432,-0.2810797482990053
-0.0051096875,-0.2187392979621534,-0.2771091313291421
-0.005108437499999999,-0.2144266146957921,-0.2744620533492328
-0.0051071875,-0.2121044006292914,-0.2708223211268616
-0.005105937499999999,-0.2087869519628587,-0.2678443583994641
-0.0051046875,-0.2051377584297862,-0.2645355109245811
-0.005103437499999999,-0.201156820030069,-0.2608957787022082
-0.0051021875,-0.198171116230281,-0.2572560464798353
-0.0051009375,-0.1961806470304224,-0.2542780837524393
-0.0050996875,-0.192199708630707,-0.250638351530068
-0.0050984375,-0.1898774945642034,-0.2469986193076934
-0.005097187499999999,-0.1849013215645552,-0.2426971175903426
-0.0050959375,-0.1812521280314827,-0.2403809243579245
-0.005094687499999999,-0.1779346793650508,-0.236741192135551
-0.0050934375,-0.1759442101651931,-0.2354176531455978
