#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B81678
#Date Time: 2025-12-03 15:46:35.963
#Start: 1 Hz
#Stop: 100000 Hz
#Steps: 101
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.43531 V
#Offset: -0.000212314 V
#Relative: no
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -2 V

#2,4kHz
#raw
#
Frequency (Hz),Channel 1 Magnitude (dB)
1,-29.0684818103774
1.122018454301963,-28.08747560677088
1.258925411794166,-27.10298537260604
1.412537544622755,-26.11894293941354
1.584893192461114,-25.14081564356185
1.778279410038923,-24.16452624309939
1.995262314968883,-23.18807405601133
2.238721138568343,-22.21333480347812
2.511886431509577,-21.24174476749965
2.818382931264455,-20.27622701853561
3.16227766016838,-19.30907508533763
3.548133892335753,-18.34858244148299
3.98107170553497,-17.3936647122551
4.466835921509634,-16.4422025013361
5.011872336272726,-15.49642652993016
5.62341325190349,-14.5584371360611
6.309573444801929,-13.62978756642753
7.079457843841388,-12.71345471398539
7.943282347242806,-11.8103259343932
8.912509381337442,-10.9244672733177
10,-10.05947258120911
11.22018454301963,-9.217809722521181
12.58925411794166,-8.405770243350741
14.12537544622754,-7.626587952100548
15.84893192461114,-6.884376893875569
17.78279410038923,-6.184464781471688
19.95262314968879,-5.529550369005383
22.3872113856834,-4.924790183632223
25.11886431509582,-4.371915870928266
28.18382931264455,-3.871897925193201
31.62277660168379,-3.425308055244505
35.48133892335757,-3.030812743247168
39.81071705534978,-2.685411442802903
44.66835921509634,-2.386142388146797
50.11872336272725,-2.128609917737126
56.23413251903491,-1.90843943201145
63.0957344480193,-1.720547657380205
70.79457843841381,-1.561219718851732
79.43282347242813,-1.425915088072089
89.12509381337459,-1.311174351035826
100,-1.214053235874691
112.2018454301963,-1.131684460845896
125.8925411794166,-1.061281314208328
141.2537544622753,-1.001473596480093
158.4893192461113,-0.9504663050626438
177.8279410038923,-0.9065294533097692
199.5262314968879,-0.8690782207293704
223.8721138568338,-0.8372387093878513
251.1886431509579,-0.8094632609253358
281.8382931264455,-0.7860025261717152
316.227766016838,-0.7655123579948575
354.8133892335753,-0.7483601417320779
398.1071705534973,-0.733623575356433
446.6835921509635,-0.7205662355635695
501.1872336272725,-0.7098594121492319
562.3413251903492,-0.7011216747982161
630.9573444801937,-0.6937475140066076
707.9457843841374,-0.6874771972308185
794.3282347242814,-0.6820021822633699
891.250938133745,-0.6776218040432465
1000,-0.6730720549120888
1122.018454301963,-0.6703704471125577
1258.925411794168,-0.667039522146786
1412.537544622754,-0.6640732254954317
1584.893192461114,-0.6616702904332401
1778.279410038923,-0.6595801848893674
1995.262314968881,-0.6576066348676013
2238.72113856834,-0.6540793072408667
2511.886431509582,-0.6523730607683221
2818.382931264452,-0.6481987295754432
3162.277660168378,-0.6461846687677336
3548.133892335753,-0.6436643517481009
3981.071705534971,-0.6411542320524859
4466.83592150963,-0.6367371884034663
5011.872336272722,-0.6341988325071775
5623.413251903491,-0.6294583481393341
6309.573444801933,-0.6258609327952279
7079.45784384138,-0.6217577158000107
7943.282347242818,-0.6174236645544613
8912.509381337459,-0.6137957112117728
10000.00000000001,-0.6130387103287225
11220.18454301964,-0.6149107576581101
12589.25411794166,-0.6179156848296276
14125.37544622754,-0.5986926407790532
15848.93192461113,-0.5956708020372063
17782.79410038922,-0.5931260241502139
19952.62314968879,-0.592180993153656
22387.2113856834,-0.6021906948386753
25118.8643150958,-0.5951839200612894
28183.82931264454,-0.5819085659776594
31622.7766016838,-0.5787709344638459
35481.33892335756,-0.5830505543844589
39810.71705534974,-0.5736374387423943
44668.35921509634,-0.5693849486133482
50118.7233627272,-0.5723220076503779
56234.13251903487,-0.5654629457664971
63095.73444801931,-0.5580562563339396
70794.57843841377,-0.557572984214066
79432.82347242814,-0.5618831618556204
89125.09381337455,-0.5433639321845467
100000,-0.5436969015712958
