#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B81678
#Date Time: 2025-12-03 16:26:17.523
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 500 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -2 V

#2,4kHz
#raw
#
Time (s),Channel 1 (V),Channel 2 (V)
-0.005119553571428572,-0.3129548400887949,-0.3270727281998975
-0.005118303571428571,-0.3116278606222225,-0.3250874197149669
-0.005117053571428571,-0.3066516876225747,-0.3211168027451042
-0.005115803571428571,-0.3039977286894311,-0.3184697247651979
-0.005114553571428571,-0.3039977286894311,-0.317807955270221
-0.005113303571428572,-0.300680280023,-0.3158226467852903
-0.005112053571428571,-0.2980263210898552,-0.3098667213304983
-0.005110803571428572,-0.2930501480902109,-0.3072196433505919
-0.005109553571428571,-0.2913914237569931,-0.30523433486566
-0.005108303571428571,-0.2897326994237764,-0.3029181416332394
-0.005107053571428571,-0.2870787404906328,-0.2996092941583565
-0.005105803571428571,-0.2830978020909145,-0.2963004466834712
-0.005104553571428572,-0.2807755880244138,-0.2946460229460298
-0.005103303571428571,-0.2774581393579828,-0.2893518669862146
-0.005102053571428572,-0.2731454560916224,-0.2860430195113302
-0.005100803571428571,-0.2724819663583362,-0.2847194805213764
-0.005099553571428572,-0.2708232420251215,-0.2824032872889582
-0.005098303571428571,-0.2675057933586897,-0.2794253245615612
-0.005097053571428571,-0.2638565998256139,-0.2774400160766284
-0.005095803571428571,-0.2602074062925414,-0.2728076296117923
-0.005094553571428571,-0.2568899576261091,-0.2691678973894179
-0.005093303571428572,-0.2539042538263224,-0.2658590499145349
-0.005092053571428571,-0.25257727435975,-0.2635428566821157
-0.005090803571428572,-0.2479328462267487,-0.260564893954721
-0.005089553571428571,-0.2452788872936017,-0.2582487007223006
-0.005088303571428572,-0.2403027142939575,-0.2532854295099762
-0.005087053571428571,-0.2389757348273828,-0.249645697287601
-0.005085803571428571,-0.2366535207608785,-0.2486530430451336
-0.005084553571428571,-0.2310138580279483,-0.2440206565802974
-0.005083303571428571,-0.230018623428019,-0.2413735786003898
-0.005082053571428572,-0.2276964093615172,-0.2393882701154592
-0.005080803571428571,-0.2233837260951569,-0.234094114155644
-0.005079553571428572,-0.2203980222953703,-0.2311161514282493
-0.005078303571428571,-0.217412318495581,-0.2274764192058751
-0.005077053571428572,-0.2147583595624374,-0.2254911107209453
-0.005075803571428571,-0.210777421162719,-0.2221822632460599
-0.005074553571428571,-0.2061329930297149,-0.2165572225387556
-0.005073303571428571,-0.2048060135631431,-0.2149027988013141
-0.005072053571428571,-0.2018203097633552,-0.2129174903163834
-0.005070803571428572,-0.1975076264969948,-0.2086159885990336
-0.005069553571428571,-0.1955171572971362,-0.2056380258716376
-0.005068303571428572,-0.1912044740307778,-0.2010056394068014
-0.005067053571428571,-0.188550515097631,-0.1973659071844264
-0.005065803571428571,-0.184901321564556,-0.1950497139520059
-0.005064553571428571,-0.1829108523646983,-0.1920717512246113
-0.005063303571428571,-0.1785981690983367,-0.1887629037497252
